tempo_arduino_micro_s,valor_ADC,tempo_arduino_s
432864,23,0.432864
433448,20,0.433448
434016,16,0.434016
434600,16,0.4346
435168,24,0.435168
435748,29,0.435748
436328,30,0.436328
436896,27,0.436896
437480,13,0.43748
438052,10,0.438052
438632,16,0.438632
439204,26,0.439204
439776,34,0.439776
440360,30,0.44036
440928,21,0.440928
441512,15,0.441512
442084,14,0.442084
442664,16,0.442664
443236,19,0.443236
443816,15,0.443816
444388,13,0.444388
444964,24,0.444964
445544,43,0.445544
446116,46,0.446116
446696,49,0.446696
447268,40,0.447268
447848,32,0.447848
448428,35,0.448428
449000,38,0.449
449584,28,0.449584
450156,13,0.450156
450736,15,0.450736
451304,15,0.451304
451888,13,0.451888
452456,11,0.452456
453040,16,0.45304
453612,13,0.453612
454188,10,0.454188
454768,11,0.454768
455336,13,0.455336
455920,14,0.45592
456492,18,0.456492
457072,24,0.457072
457644,30,0.457644
458216,22,0.458216
458800,19,0.4588
459372,15,0.459372
459952,15,0.459952
460524,11,0.460524
461104,11,0.461104
461672,11,0.461672
462256,23,0.462256
462828,40,0.462828
463400,41,0.4634
463984,35,0.463984
464556,19,0.464556
465136,12,0.465136
465708,21,0.465708
466288,36,0.466288
466860,22,0.46686
467436,14,0.467436
468016,14,0.468016
468584,17,0.468584
469168,11,0.469168
469740,11,0.46974
470320,14,0.47032
470900,11,0.4709
471480,11,0.47148
472060,10,0.47206
472632,17,0.472632
473216,20,0.473216
473788,13,0.473788
474368,15,0.474368
474940,16,0.47494
475520,15,0.47552
476092,20,0.476092
476668,18,0.476668
477248,11,0.477248
477820,24,0.47782
478400,28,0.4784
478972,17,0.478972
479552,9,0.479552
480072,10,0.480072
480648,10,0.480648
481216,11,0.481216
481796,15,0.481796
482376,13,0.482376
482948,14,0.482948
483528,16,0.483528
484096,18,0.484096
484680,15,0.48468
485252,15,0.485252
485832,12,0.485832
486408,14,0.486408
486976,20,0.486976
487560,30,0.48756
488132,22,0.488132
488712,11,0.488712
489284,11,0.489284
489864,37,0.489864
490436,46,0.490436
491012,35,0.491012
491592,19,0.491592
492164,14,0.492164
492744,16,0.492744
493316,14,0.493316
493896,12,0.493896
494468,13,0.494468
495048,19,0.495048
495624,22,0.495624
496196,26,0.496196
496776,27,0.496776
497348,16,0.497348
497928,18,0.497928
498496,44,0.498496
499080,53,0.49908
499652,36,0.499652
500228,19,0.500228
500808,19,0.500808
501376,18,0.501376
501960,15,0.50196
502532,11,0.502532
503112,13,0.503112
503684,39,0.503684
504264,29,0.504264
504840,11,0.50484
505412,24,0.505412
505992,12,0.505992
506564,14,0.506564
507144,15,0.507144
507716,15,0.507716
508296,16,0.508296
508876,15,0.508876
509452,14,0.509452
510032,14,0.510032
510604,13,0.510604
511184,16,0.511184
511764,12,0.511764
512348,11,0.512348
512920,13,0.51292
513488,10,0.513488
514064,11,0.514064
514632,22,0.514632
515216,19,0.515216
515784,13,0.515784
516368,13,0.516368
516936,14,0.516936
517520,14,0.51752
518088,18,0.518088
518664,17,0.518664
519248,22,0.519248
519816,29,0.519816
520400,28,0.5204
520968,43,0.520968
521552,43,0.521552
522124,27,0.522124
522704,11,0.522704
523280,40,0.52328
523848,41,0.523848
524432,38,0.524432
525004,41,0.525004
525584,26,0.525584
526156,18,0.526156
526736,14,0.526736
527304,12,0.527304
527884,22,0.527884
528464,14,0.528464
529032,14,0.529032
529616,12,0.529616
530184,10,0.530184
530768,10,0.530768
531340,15,0.53134
531920,22,0.53192
532496,17,0.532496
533064,17,0.533064
533648,14,0.533648
534216,16,0.534216
534800,15,0.5348
535368,18,0.535368
535952,18,0.535952
536524,26,0.536524
537096,26,0.537096
537680,18,0.53768
538248,12,0.538248
538824,17,0.538824
539396,14,0.539396
539976,11,0.539976
540548,10,0.540548
541128,13,0.541128
541704,15,0.541704
542276,15,0.542276
542856,21,0.542856
543428,24,0.543428
544008,45,0.544008
544576,43,0.544576
545152,23,0.545152
545724,14,0.545724
546296,11,0.546296
546880,14,0.54688
547448,19,0.547448
548032,21,0.548032
548600,21,0.5486
549184,19,0.549184
549756,15,0.549756
550336,15,0.550336
550920,15,0.55092
551492,15,0.551492
552072,13,0.552072
552644,16,0.552644
553224,16,0.553224
553796,10,0.553796
554376,9,0.554376
554896,10,0.554896
555472,10,0.555472
556048,14,0.556048
556620,14,0.55662
557200,17,0.5572
557772,25,0.557772
558352,21,0.558352
558924,20,0.558924
559504,19,0.559504
560076,15,0.560076
560652,12,0.560652
561232,13,0.561232
561804,11,0.561804
562384,11,0.562384
562956,10,0.562956
563536,17,0.563536
564112,16,0.564112
564688,21,0.564688
565272,38,0.565272
565844,56,0.565844
566424,44,0.566424
566992,34,0.566992
567576,25,0.567576
568156,23,0.568156
568736,19,0.568736
569316,16,0.569316
569892,10,0.569892
570472,14,0.570472
571044,23,0.571044
571624,24,0.571624
572196,29,0.572196
572776,38,0.572776
573356,27,0.573356
573932,11,0.573932
574512,14,0.574512
575084,15,0.575084
575664,14,0.575664
576236,14,0.576236
576816,16,0.576816
577384,11,0.577384
577968,11,0.577968
578536,10,0.578536
579116,12,0.579116
579696,15,0.579696
580268,23,0.580268
580848,31,0.580848
581420,35,0.58142
582000,35,0.582
582572,24,0.582572
583148,18,0.583148
583728,15,0.583728
584300,15,0.5843
584880,24,0.58488
585452,15,0.585452
586032,15,0.586032
586604,15,0.586604
587184,10,0.587184
587756,12,0.587756
588332,14,0.588332
588912,32,0.588912
589484,33,0.589484
590064,25,0.590064
590636,26,0.590636
591216,21,0.591216
591788,14,0.591788
592364,15,0.592364
592944,14,0.592944
593516,20,0.593516
594096,24,0.594096
594668,20,0.594668
595248,14,0.595248
595816,14,0.595816
596400,12,0.5964
596972,17,0.596972
597548,32,0.597548
598128,35,0.598128
598700,30,0.5987
599280,27,0.59928
599860,18,0.59986
600440,26,0.60044
601020,41,0.60102
601596,41,0.601596
602180,30,0.60218
602752,19,0.602752
603328,10,0.603328
603900,20,0.6039
604480,18,0.60448
605060,16,0.60506
605640,25,0.60564
606216,33,0.606216
606788,30,0.606788
607368,28,0.607368
607940,27,0.60794
608524,19,0.608524
609100,14,0.6091
609680,18,0.60968
610260,15,0.61026
610836,10,0.610836
611416,13,0.611416
611988,17,0.611988
612568,11,0.612568
613148,10,0.613148
613728,13,0.613728
614308,19,0.614308
614884,29,0.614884
615464,37,0.615464
616036,40,0.616036
616616,37,0.616616
617188,30,0.617188
617768,24,0.617768
618336,20,0.618336
618920,11,0.61892
619492,14,0.619492
620068,11,0.620068
620648,10,0.620648
621220,12,0.62122
621800,21,0.6218
622372,15,0.622372
622952,15,0.622952
623532,20,0.623532
624108,23,0.624108
624688,26,0.624688
625256,30,0.625256
625840,27,0.62584
626412,20,0.626412
626992,17,0.626992
627564,10,0.627564
628144,13,0.628144
628716,13,0.628716
629292,10,0.629292
629872,11,0.629872
630444,19,0.630444
631024,39,0.631024
631596,52,0.631596
632180,49,0.63218
632756,42,0.632756
633332,40,0.633332
633912,31,0.633912
634488,18,0.634488
635064,17,0.635064
635636,11,0.635636
636216,15,0.636216
636796,19,0.636796
637380,25,0.63738
637960,31,0.63796
638536,37,0.638536
639116,29,0.639116
639688,12,0.639688
640268,10,0.640268
640840,15,0.64084
641416,17,0.641416
641984,18,0.641984
642560,17,0.64256
643144,16,0.643144
643716,19,0.643716
644296,29,0.644296
644868,16,0.644868
645448,13,0.645448
646016,19,0.646016
646600,24,0.6466
647176,12,0.647176
647748,39,0.647748
648328,62,0.648328
648896,63,0.648896
649480,59,0.64948
650052,58,0.650052
650632,44,0.650632
651204,41,0.651204
651780,24,0.65178
652360,10,0.65236
652932,11,0.652932
653512,17,0.653512
654084,34,0.654084
654664,43,0.654664
655236,38,0.655236
655816,37,0.655816
656400,24,0.6564
656968,13,0.656968
657544,20,0.657544
658112,23,0.658112
658696,18,0.658696
659264,15,0.659264
659848,14,0.659848
660416,21,0.660416
660992,18,0.660992
661576,11,0.661576
662148,23,0.662148
662728,27,0.662728
663296,25,0.663296
663880,16,0.66388
664452,21,0.664452
665032,39,0.665032
665608,39,0.665608
666176,22,0.666176
666752,16,0.666752
667320,16,0.66732
667904,15,0.667904
668472,17,0.668472
669056,12,0.669056
669624,10,0.669624
670200,16,0.6702
670784,18,0.670784
671352,23,0.671352
671936,26,0.671936
672508,22,0.672508
673088,19,0.673088
673656,23,0.673656
674240,27,0.67424
674808,31,0.674808
675388,32,0.675388
675968,34,0.675968
676536,20,0.676536
677120,21,0.67712
677688,37,0.677688
678272,41,0.678272
678844,43,0.678844
679416,31,0.679416
680000,18,0.68
680568,27,0.680568
681144,46,0.681144
681712,40,0.681712
682296,26,0.682296
682864,18,0.682864
683448,21,0.683448
684020,15,0.68402
684592,18,0.684592
685176,17,0.685176
685748,11,0.685748
686328,10,0.686328
686900,15,0.6869
687480,24,0.68748
688052,38,0.688052
688624,32,0.688624
689208,11,0.689208
689780,12,0.68978
690360,10,0.69036
690932,12,0.690932
691512,15,0.691512
692084,14,0.692084
692664,15,0.692664
693236,26,0.693236
693812,24,0.693812
694392,15,0.694392
694964,14,0.694964
695544,29,0.695544
696116,39,0.696116
696696,49,0.696696
697272,54,0.697272
697852,59,0.697852
698432,44,0.698432
699000,34,0.699
699584,27,0.699584
700156,18,0.700156
700736,23,0.700736
701316,18,0.701316
701896,14,0.701896
702480,14,0.70248
703052,31,0.703052
703632,36,0.703632
704208,30,0.704208
704784,23,0.704784
705356,10,0.705356
705936,11,0.705936
706508,11,0.706508
707084,10,0.707084
707664,16,0.707664
708236,18,0.708236
708816,15,0.708816
709388,14,0.709388
709968,14,0.709968
710540,11,0.71054
711120,12,0.71112
711696,11,0.711696
712268,11,0.712268
712848,12,0.712848
713420,10,0.71342
714000,20,0.714
714580,37,0.71458
715160,49,0.71516
715740,60,0.71574
716316,45,0.716316
716896,25,0.716896
717468,15,0.717468
718048,15,0.718048
718620,17,0.71862
719200,20,0.7192
719772,26,0.719772
720348,43,0.720348
720928,58,0.720928
721500,64,0.7215
722080,50,0.72208
722648,24,0.722648
723232,10,0.723232
723800,25,0.7238
724384,37,0.724384
724956,32,0.724956
725532,17,0.725532
726112,15,0.726112
726684,15,0.726684
727264,14,0.727264
727836,24,0.727836
728416,25,0.728416
728996,25,0.728996
729572,34,0.729572
730152,43,0.730152
730724,44,0.730724
731304,44,0.731304
731876,50,0.731876
732456,49,0.732456
733036,32,0.733036
733616,19,0.733616
734196,14,0.734196
734772,23,0.734772
735352,30,0.735352
735924,17,0.735924
736504,11,0.736504
737084,20,0.737084
737664,17,0.737664
738232,19,0.738232
738812,23,0.738812
739392,27,0.739392
739964,25,0.739964
740544,22,0.740544
741116,22,0.741116
741696,18,0.741696
742276,15,0.742276
742856,15,0.742856
743440,16,0.74344
744012,13,0.744012
744592,11,0.744592
745164,22,0.745164
745744,33,0.745744
746316,23,0.746316
746896,18,0.746896
747476,30,0.747476
748052,35,0.748052
748632,39,0.748632
749204,21,0.749204
749784,13,0.749784
750356,18,0.750356
750936,24,0.750936
751516,27,0.751516
752092,24,0.752092
752672,14,0.752672
753244,11,0.753244
753824,12,0.753824
754396,16,0.754396
754976,26,0.754976
755556,31,0.755556
756136,26,0.756136
756716,22,0.756716
757292,24,0.757292
757872,20,0.757872
758444,21,0.758444
759024,33,0.759024
759596,27,0.759596
760176,15,0.760176
760756,14,0.760756
761332,20,0.761332
761912,16,0.761912
762484,20,0.762484
763064,24,0.763064
763636,18,0.763636
764216,11,0.764216
764796,18,0.764796
765380,58,0.76538
765964,83,0.765964
766536,74,0.766536
767116,50,0.767116
767688,31,0.767688
768268,21,0.768268
768840,11,0.76884
769424,18,0.769424
769996,21,0.769996
770572,27,0.770572
771152,26,0.771152
771724,23,0.771724
772304,21,0.772304
772876,29,0.772876
773456,25,0.773456
774028,21,0.774028
774608,23,0.774608
775184,27,0.775184
775756,20,0.775756
776336,13,0.776336
776908,14,0.776908
777488,14,0.777488
778068,15,0.778068
778648,16,0.778648
779224,11,0.779224
779804,11,0.779804
780384,16,0.780384
780956,34,0.780956
781536,53,0.781536
782108,54,0.782108
782688,37,0.782688
783260,23,0.78326
783836,32,0.783836
784416,28,0.784416
784988,23,0.784988
785568,12,0.785568
786140,15,0.78614
786720,28,0.78672
787292,29,0.787292
787872,21,0.787872
788444,21,0.788444
789020,25,0.78902
